Report generated on: 03-02-2022 20:09:03
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-WORL-BDOLPPP.A","    World","27770.910281","28665.819138","28801.769507","29617.577192","31097.252511","32289.040681","33425.371024","34792.987235","42106.595403","44075.6352239","49229.890519","50156.762624","51016.352946","52108.495098","53646.343445","55384.826679","57529.161409","59832.326571","61263.857052","63358.515519","66398.356393","67935.205642","69813.837803","72365.060333","76045.707548","79576.34507","83710.080805","88074.601701","90624.603666","90003.176025","94617.526435","98369.0322","101534.112578","104859.448866","108404.179858","111935.895738","115567.880105","119854.321707","124161.994035","127690.247059","123545.030372"
"INTL.4701-34-AFG-BDOLPPP.A","        Afghanistan","NA","NA","NA","NA","NA","NA","NA","NA","37.7013","34.9313","33.5173","30.4497","30.0136","24.2715","18.6874","24.393","25.2627","23.9564","22.8357","21.744","20.5799","19.4201","28.8519","33.4125","34.3682","36.9487","40.1128","49.1955","48.6518","53.9395","56.7712","60.6103","66.4914","70.9136","73.0931","72.056","73.2453","75.1899","76.3784","79.4546","77.852"
"INTL.4701-34-ALB-BDOLPPP.A","        Albania","NA","NA","NA","NA","NA","NA","NA","NA","15.6877","17.2309","15.5809","11.2179","10.4103","11.4097","12.3567","14.0001","15.2744","13.619","14.8459","16.8503","17.9665","19.3931","20.2137","21.3739","22.5865","23.8874","25.1847","26.6719","28.682","29.6441","30.743","31.5255","31.9724","32.2927","32.8658","33.595","34.7087","36.0284","37.4765","38.2684","36.7547"
"INTL.4701-34-DZA-BDOLPPP.A","        Algeria","NA","NA","NA","NA","NA","NA","NA","NA","219.921","229.598","231.434","228.657","232.773","227.885","225.834","234.415","244.026","246.711","259.293","267.59","277.759","286.092","302.113","323.865","337.791","357.721","363.802","376.171","385.199","391.363","405.452","417.21","431.395","443.474","460.326","477.358","492.633","499.038","505.026","509.066","484.012"
"INTL.4701-34-ASM-BDOLPPP.A","        American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.514","0.527","0.512","0.503","0.496","0.52","0.563","0.678","0.576","0.574","0.644","0.641","0.642","0.661","0.652","0.602","0.636","NA","NA"
"INTL.4701-34-AGO-BDOLPPP.A","        Angola","NA","NA","NA","NA","NA","NA","NA","NA","64.7743","64.8013","62.5656","63.1859","59.4969","45.2275","45.8333","52.7082","59.8472","64.2007","67.2124","68.6787","70.7766","73.7534","83.8323","86.3388","95.7954","110.192","122.917","140.138","155.786","157.123","164.043","169.739","184.238","193.366","202.691","204.604","199.325","199.032","195.044","193.826","185.994"
"INTL.4701-34-ATA-BDOLPPP.A","        Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-ATG-BDOLPPP.A","        Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","0.907007","0.954645","0.983396","1.0048","1.01644","1.07011","1.14156","1.09179","1.1639","1.22758","1.28566","1.33332","1.41604","1.35164","1.36552","1.4485","1.53203","1.63122","1.83851","2.00978","2.00949","1.7691","1.63039","1.59846","1.65237","1.64244","1.70479","1.77","1.86731","1.92603","2.0599","2.12893","1.7044"
"INTL.4701-34-ARG-BDOLPPP.A","        Argentina","453.819","430.09","416.506","433.632","442.301","411.5603","440.9364","452.362","443.792","413.0077","405.4487","448.3389","491.409","514.864","544.914","529.409","558.667","603.981","627.236","606.002","601.221","574.714","512.102","557.356","583.43","635.073","686.179","747.987","778.335","732.269","806.414","854.831","846.057","866.407","844.638","867.707","849.655","873.602","850.736","833.501","751.024"
"INTL.4701-34-ARM-BDOLPPP.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","8.17452","7.45428","7.85138","8.39244","8.88759","9.18275","9.85678","10.1776","10.7777","11.8077","13.5848","15.4922","17.1139","19.4868","22.0587","25.0916","26.8349","23.0378","23.5481","24.6432","26.409","27.2805","28.2626","29.167","29.2253","31.4172","33.0509","35.5628","32.86"
"INTL.4701-34-ABW-BDOLPPP.A","        Aruba","--","--","--","--","--","--","NA","NA","1.51893","1.70318","1.77065","1.91164","2.02409","2.17201","2.3502","2.40911","2.4391","2.62971","2.80502","2.8374","2.96548","2.95467","2.89072","2.90417","3.12255","3.15929","3.16744","3.25643","3.18037","2.9087","2.81389","2.8235","2.78482","2.90174","2.90965","3.07615","3.13953","3.20138","3.23047","3.20784","2.38594"
"INTL.4701-34-AUS-BDOLPPP.A","        Australia","373.5762","389.0065","389.758","387.2328","413.144","433.966","443.097","465.203","484.463","506.911","514.466","509.335","522.393","542.955","569.261","586.086","609.71","637.787","667.44","696.46","718.054","737.18","767.916","791.081","823.592","848.26","870.371","908.353","931.624","949.45","972.586","1000.094","1037.872","1060.76","1087.884","1113.001","1143.082","1170.254","1202.747","1226.586","1200.1"
"INTL.4701-34-AUT-BDOLPPP.A","        Austria","212.4871","212.2023","216.2571","222.1881","223.0286","228.0472","233.4487","237.2687","247.8359","258.1098","268.9426","277.8724","283.3057","285.5946","292.5666","302.3074","309.1158","315.9458","327.0387","338.0535","350.4684","354.6508","360.6824","364.2545","373.3226","382.1802","395.9011","410.495","416.679","401.1004","407.949","420.451","423.652","423.494","426.955","431.082","439.417","449.922","460.948","467.708","435.739"
"INTL.4701-34-AZE-BDOLPPP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","42.8995","32.9895","26.5055","23.3778","23.6817","25.0553","27.5608","29.6003","32.8859","36.1416","39.5151","43.5319","47.5681","60.6273","81.5664","102.288","113.041","123.386","129.582","127.875","130.732","138.304","142.249","144.146","139.781","140.02","142.091","145.705","140.133"
"INTL.4701-34-BHR-BDOLPPP.A","        Bahrain","NA","NA","NA","NA","NA","NA","NA","NA","17.312","17.3494","18.141","20.1522","21.5232","24.3172","24.2533","25.1588","26.1891","27.0232","28.33","29.5342","31.1057","31.8805","32.948","35.0226","37.4675","40.0037","42.5907","46.1232","49.0021","50.247","52.4261","53.466","55.4593","58.4634","61.0068","62.523","64.7477","67.5264","68.9688","70.4457","66.8634"
"INTL.4701-34-BGD-BDOLPPP.A","        Bangladesh","NA","NA","NA","NA","NA","NA","NA","NA","148.232","152.035","162.147","167.559","176.005","184.047","191.575","201.006","210.301","219.743","231.119","241.913","254.718","267.651","277.91","291.082","306.334","326.355","348.13","372.702","395.116","415.05","438.176","466.501","496.924","526.807","558.737","595.349","637.699","684.152","737.95","798.113","826.12"
"INTL.4701-34-BRB-BDOLPPP.A","        Barbados","NA","NA","NA","NA","NA","NA","NA","NA","3.65318","3.78474","3.65984","3.51663","3.271","3.31097","3.43628","3.5058","3.64485","3.81763","3.96042","3.97333","4.15026","4.05201","4.08407","4.17274","4.23144","4.39922","4.64859","4.75095","4.7841","4.54127","4.4374","4.40752","4.3877","4.32577","4.3203","4.426","4.536","4.55766","4.53109","4.52673","3.731"
"INTL.4701-34-BLR-BDOLPPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","8.99849","8.34777","64.9134","58.1546","59.7837","66.5986","72.1936","74.6485","78.9782","82.71","86.883","93.0023","103.651","113.436","124.778","135.568","149.461","149.705","161.335","170.626","173.569","175.241","178.006","171.204","166.865","170.95","176.402","178.892","177.174"
"INTL.4701-34-BEL-BDOLPPP.A","        Belgium","267.9961","268.3881","269.9461","271.0187","276.7159","281.8279","287.0511","293.8637","307.2803","318.3977","328.236","334.1465","338.5958","336.2506","347.3189","357.8923","362.6059","376.363","383.7498","397.3438","412.142","416.646","423.754","428.153","443.44","453.757","465.343","482.431","484.577","474.8","488.399","496.675","500.347","502.644","510.581","521.003","527.601","536.147","545.898","557.634","526.075"
"INTL.4701-34-BLZ-BDOLPPP.A","        Belize","NA","NA","NA","NA","NA","NA","NA","NA","0.698207","0.806246","0.895888","0.998986","1.1193","1.18943","1.19213","1.19995","1.21696","1.26052","1.30747","1.41914","1.59118","1.68285","1.76245","1.92696","2.01921","2.05843","2.15773","2.16875","2.24448","2.22226","2.31693","2.36146","2.41846","2.44995","2.54886","2.616","2.61513","2.66256","2.74003","2.78824","2.39858"
"INTL.4701-34-BEN-BDOLPPP.A","        Benin","NA","NA","NA","NA","NA","NA","NA","NA","10.0239","9.73778","10.6119","11.0603","11.3874","12.052","12.2955","13.0388","13.6026","14.3827","14.9524","15.7511","16.6737","17.563","18.3784","19.0113","19.8534","20.1935","20.9899","22.2465","23.3358","23.877","24.3818","25.1044","26.3122","28.2044","29.9976","30.531","31.5506","33.34","35.5729","38.0152","39.4784"
"INTL.4701-34-BMU-BDOLPPP.A","        Bermuda","NA","NA","NA","NA","NA","NA","NA","NA","4.4118","4.41731","4.30043","4.31167","4.19415","4.29576","4.36364","4.59911","4.77731","4.99734","5.19273","5.36875","5.52893","5.92819","5.84059","6.03979","6.1822","6.28571","6.57525","7.00978","7.3153","7.09929","7.14066","6.87341","6.50875","6.49054","6.25032","6.2988","6.2574","6.48338","6.49022","6.64648","6.35845"
"INTL.4701-34-BTN-BDOLPPP.A","        Bhutan","0.537717","0.619032","0.640325","0.707118","0.739339","0.769123","0.856744","1.10566","1.15838","1.24358","1.3727","1.36711","1.43","1.45841","1.53062","1.6389","1.73011","1.82308","1.9309","2.08506","2.15502","2.33494","2.5916","2.79435","2.96225","3.17812","3.40058","4.02496","4.21813","4.50279","5.04068","5.44306","5.72166","5.84296","6.18048","6.591","7.12665","7.45817","7.68603","8.10603","7.55708"
"INTL.4701-34-BOL-BDOLPPP.A","        Bolivia","NA","NA","NA","NA","NA","NA","NA","NA","25.9086","26.8906","28.1372","29.619","30.1067","31.392","32.8572","34.3944","35.8944","37.6727","39.5674","39.7363","40.7328","41.4187","42.4481","43.5991","45.4186","47.4267","49.7018","51.9704","55.1658","57.0177","59.3707","62.4604","65.6597","70.122","73.9511","77.543","80.8493","84.2411","87.7992","89.7455","82.5937"
"INTL.4701-34-BIH-BDOLPPP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","7.08632","6.93175","7.70339","9.30569","14.3493","19.6071","22.865","25.1515","26.5349","27.454","28.7626","30.0979","31.5859","32.8077","35.4638","37.9156","39.4234","38.0795","37.7564","38.458","38.4486","39.1429","39.5725","41.195","42.7338","44.3626","45.8473","47.1135","45.6069"
"INTL.4701-34-BWA-BDOLPPP.A","        Botswana","3.928214","4.28429","4.8055","5.43727","5.90191","6.322431","6.83916","7.65179","9.140061","10.33371","11.03359","11.85654","12.2024","12.43622","12.48478","13.28704","14.01173","15.07993","15.14254","16.5924","16.81807","16.81986","17.86904","19.23549","19.75669","20.66427","22.40969","24.25762","25.76085","23.78059","25.81222","27.37044","28.59105","31.83768","32.89559","31.00921","33.19451","34.52648","35.90103","36.97997","33.86045"
"INTL.4701-34-BRA-BDOLPPP.A","        Brazil","1305.131","1247.861","1255.116","1212.396","1277.491","1378.897","1494.835","1544.599","1540.728","1590.548","1532.732","1548.729","1540.129","1615.749","1710.085","1782.453","1816.568","1884.107","1890.731","1899.717","1980.851","2011.045","2071.78","2095.884","2209.55","2289.579","2380.255","2522.071","2642.533","2646.712","2846.727","2963.345","3011.003","3107.731","3124.018","3013.558","2907.922","2955.122","3004.709","3041.299","2914.046"
"INTL.4701-34-VGB-BDOLPPP.A","        British Virgin Islands","NA","NA","NA","NA","NA","NA","NA","NA","0.188978","0.205301","0.258426","0.317599","0.394952","0.516377","0.643964","0.796257","0.858433","0.948689","1.04697","1.14725","1.24535","1.3028","1.25916","1.10098","1.14213","1.30586","1.29036","1.27854","1.26052","1.24496","1.24379","1.20823","1.19967","1.24156","1.26259","1.27208","1.3648","1.37483","1.41282","1.44981","1.39151"
"INTL.4701-34-BRN-BDOLPPP.A","        Brunei","NA","NA","NA","NA","NA","NA","NA","NA","17.6672","18.0572","18.2539","18.8282","19.7242","19.7842","20.4065","21.3205","21.9341","21.6109","21.4899","22.1459","22.7777","23.403","24.3091","25.0149","25.141","25.2385","26.3483","26.3884","25.8777","25.4206","26.0813","27.0579","27.305","26.7248","26.0546","25.949","25.3092","25.6455","25.6589","26.6516","26.9722"
"INTL.4701-34-BGR-BDOLPPP.A","        Bulgaria","63.5641","66.5823","68.1335","70.4752","72.8635","74.827","77.9974","82.7697","91.721","88.574","80.469","73.6859","68.3735","67.412","68.6595","85.2948","91.0052","77.843","81.2803","74.5872","78.8745","81.932","86.6515","91.1967","97.2179","103.9896","111.0069","118.6638","125.8119","121.544","123.2235","126.1157","126.7682","126.0046","127.4248","131.688","135.7313","139.5168","143.483","149.2549","142.8022"
"INTL.4701-34-BFA-BDOLPPP.A","        Burkina Faso","NA","NA","NA","NA","NA","NA","NA","NA","7.94388","8.11503","8.06562","8.79749","8.81754","9.12332","9.24291","9.77141","10.8477","11.5329","12.3757","13.1483","13.3966","14.2826","14.9043","16.0672","16.7868","18.2409","19.3815","20.1783","21.3487","21.981","23.8376","25.4163","27.0563","28.6235","29.862","31.033","32.8819","34.9218","37.2724","39.3968","40.1779"
