Report generated on: 03-02-2022 13:07:19
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","population (Mperson)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4702-33-WORL-THP.A","    World","4298126.5224","4377059.5593","4456829.97443","4537793.89383","4572800.78237","4657357.404","4745135.92538","4835605.8458","4927545.0842","5056794.37357","5294251.48698","5396473.6766","5481774.19023","5581568.66482","5663996.1634","5745283.94102","5826303.733","5906491.02599","5985040.94597","6063581.745","6141880.59902","6220160.56762","6298597.4702","6377289.06582","6456652.84538","6536810.245","6618223.73697","6700371.898","6783134.44","6865794.1842","6948810.014","7041712.689","7126262.29402","7211822.209","7297269.981","7379227.32003","7464042.84623","7548343.78937","7632247.01155","7714631.06383","7793794.7243"
"INTL.4702-33-AFG-THP.A","        Afghanistan","13356.5","13171.7","12882.5","12537.7","12204.3","11938.2","11736.2","11604.5","11618","11868.9","12412.3","13299","14485.5","15816.6","17075.7","18110.7","18853.4","19357.1","19737.8","20170.8","20780","21607","22600.8","23680.9","24726.7","25654.3","26433.1","27100.5","27722.3","28394.8","29185.5","30117.4","31161.4","32269.6","33370.8","34413.6","35383","36296.1","37173.5","38050.9","38928.3"
"INTL.4702-33-ALB-THP.A","        Albania","2682.7","2737.02","2790.28","2844.87","2904.14","2969.67","3044.2","3124.89","3200.97","3257.91","3286.07","3280.4","3245.89","3195.2","3146.52","3112.92","3098.7","3099.75","3110.7","3122.7","3129.25","3129.7","3126.18","3118.02","3104.89","3086.81","3063.02","3033.99","3002.68","2973.04","2948.03","2928.6","2914.09","2903.79","2896.31","2890.52","2886.43","2884.17","2882.05","2879.92","2877.8"
"INTL.4702-33-DZA-THP.A","        Algeria","19221.7","19824.3","20452.9","21101.9","21763.6","22431.5","23102.4","23774.3","24443.5","25106.2","25758.9","26400.5","27028.3","27635.5","28213.8","28757.8","29266.4","29743","30192.8","30623.4","31042.2","31451.5","31855.1","32264.2","32692.2","33149.7","33641","34167","34730.6","35333.9","35977.4","36661.4","37383.9","38140.1","38923.7","39728","40551.4","41389.2","42209.8","43030.4","43851"
"INTL.4702-33-ASM-THP.A","        American Samoa","32.646","33.701","34.968","36.412","37.946","39.519","41.119","42.74","44.343","45.894","47.347","48.685","49.896","51.02","52.095","53.161","54.211","55.221","56.171","57.053","57.821","58.494","59.08","59.504","59.681","59.562","59.107","58.365","57.492","56.683","56.079","55.759","55.667","55.713","55.791","55.812","55.741","55.62","55.465","55.312","NA"
"INTL.4702-33-AGO-THP.A","        Angola","8341.29","8640.48","8952.97","9278.1","9614.76","9961.99","10320.1","10689.2","11068","11454.8","11848.4","12248.9","12657.4","13075","13503.8","13945.2","14400.7","14871.6","15359.6","15866.9","16395.5","16945.8","17519.4","18121.5","18758.1","19433.6","20149.9","20905.4","21695.6","22514.3","23356.2","24220.7","25107.9","26015.8","26941.8","27884.4","28842.5","29816.8","30833.3","31849.8","32866.3"
"INTL.4702-33-ATA-THP.A","        Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4702-33-ATG-THP.A","        Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","62.2338","62.3834","62.533","63.7608","64.9886","66.2164","67.4442","68.672","70.139","71.606","73.073","74.54","76.007","77.098","78.189","79.28","80.371","81.462","82.7756","84.0892","85.4028","86.7164","88.03","89.1382","90.2464","91.3546","92.4628","93.571","94.4424","95.3138","96.1852","97.0566","97.928"
"INTL.4702-33-ARG-THP.A","        Argentina","27951.93","28398","28858.3","29327.9","29801.63","30276.05","30755.45","31241.6","31728.1","32208.15","32675.95","33131.9","33579.75","34020.12","34453.77","34880.85","35299.2","35709","36113.68","36516.9","36921.7","37327.62","37732.75","38137.02","38540.62","38942.95","39341.35","39736.48","40132.93","40535.52","40948.95","41375.93","41813.05","42254.68","42694.98","43129.3","43559.05","43987.2","44412.27","44832.7","45247.15"
